Neighborhood,MedianMonthlyNominalIncome_BRL
Andorinhas,510.0
Antonio Honório,755.0
Ariovaldo Favalessa,510.0
Barro Vermelho,2000.0
Bela Vista,510.0
Bento Ferreira,1500.0
Boa Vista,590.0
Bonfim,510.0
Carapina I,700.0
Caratoíra,510.0
Centro,1000.0
Comdusa,510.0
Conquista,510.0
Consolação,510.0
Cruzamento,510.0
da Penha,510.0
De Fátima,795.0
de Lourdes,1000.0
do Cabral,510.0
do Moscoso,510.0
do Quadro,510.0
Enseada do Suá,2000.0
Estrelinha,510.0
Fonte Grande,510.0
Forte São João,510.0
Fradinhos,1000.0
Goiabeiras,550.0
Grande Vitória,510.0
Gurigica,510.0
Hélio Ferraz,600.0
Horto,510.0
Ilha das Caieiras,510.0
Ilha de Santa Maria,560.0
Ilha do Boi,1500.0
Ilha do Frade,2500.0
Ilha do Príncipe,510.0
Inhanguetá,510.0
Itararé,510.0
Jabour,1000.0
Jardim Camburí,1500.0
Jardim da Penha,1500.0
Jesus de Nazareth,510.0
Joana D'arc,510.0
Jucutuquara,800.0
Maria Ortiz,510.0
Mário Cypreste,510.0
Maruípe,800.0
Mata da Praia,2000.0
Monte Belo,511.0
Morada de Camburí,1100.0
Nazareth,850.0
Nova Palestina,510.0
Parque Industrial,405.0
Parque Moscoso,1005.0
Piedade,510.0
Pontal de Camburí,800.0
Praia do Canto,2000.0
Praia do Suá,510.0
Redenção,510.0
República,900.0
Resistência,510.0
Romão,510.0
Santa Cecília,1000.0
Santa Clara,700.0
Santa Helena,2500.0
Santa Lúcia,1500.0
Santa Luíza,1000.0
Santa Martha,510.0
Santa Tereza,510.0
Santo André,510.0
Santo Antônio,510.0
Santos Dumont,510.0
Santos Reis,510.0
São Benedito,440.0
São Cristovão,510.0
São José,510.0
São Pedro,510.0
Segurança do Lar,700.0
Solon Borges,700.0
Tabuazeiro,510.0
Universitário,600.0
Vila Rubim,510.0
